Frequency,Modelling Error,COV of Frequency,COV of Mode Shape,Variance of Frequency,Variance of Mode shape
6.218148,0.814187,8.499071,6.116651,1.06609,1.543933
6.22259,0.819012,6.442565,4.771357,1.785125,2.266792
6.203646,0.816564,6.381025,4.788717,1.536997,2.300963
6.222444,0.815155,6.246967,4.016162,1.505256,1.644071
6.213467,0.814042,6.180755,5.499447,1.448647,2.956577
6.214946,0.814232,6.194648,5.497857,1.449043,2.949858
6.223424,0.818793,6.34715,3.921271,1.507271,1.613657
6.223678,0.817466,6.233584,7.52842,1.450199,5.754998
6.219913,0.816972,5.646146,4.124173,1.07163,1.747605
6.22293,0.81882,5.208335,5.01904,1.0857,2.718139
6.199855,0.789143,6.275452,4.795566,1.509101,2.304353
6.222934,0.819766,5.678068,4.022314,1.128254,1.671819
6.223362,0.820237,5.682425,3.9958,1.109676,1.652395
6.223216,0.819955,5.671015,4.024171,1.12412,1.671302
6.204556,0.801034,5.167087,6.190575,1.043975,3.801988
6.22223,0.817876,6.372166,4.844064,1.515095,2.343886
6.223124,0.818886,5.715771,4.018533,1.126178,1.678028
6.224729,0.820586,6.300635,3.835827,1.479563,1.539846
6.234758,0.816226,5.180038,4.864723,1.080505,2.360525
6.217161,0.813754,6.188471,4.014759,1.477103,1.659472
6.215626,0.805707,6.474354,4.762811,1.761529,2.264977
6.22189,0.818965,5.063511,4.089263,1.05375,1.718386
6.223105,0.819393,6.120519,3.974304,1.087529,1.624251
6.223188,0.816417,5.172253,6.272787,1.051055,3.910999
6.22303,0.818781,7.139517,5.377121,1.209645,2.87236
6.222927,0.817716,6.24228,7.665952,1.056989,5.635623
6.216708,0.812847,6.26965,4.007934,1.44895,1.639141
6.214463,0.814568,6.197614,5.498407,1.450111,2.950213
6.198352,0.790569,5.733895,4.050783,1.154119,1.73514
6.222674,0.820167,5.68349,4.021171,1.128677,1.672479
6.223292,0.819024,5.721631,4.021881,1.15116,1.685588
6.203448,0.789659,6.383275,4.78276,1.543067,2.302712
6.223256,0.818551,6.204602,3.882131,1.458295,1.593394
6.223586,0.816665,6.328019,6.409295,1.461344,4.120077
6.203181,0.81734,6.424176,4.998226,1.471616,2.17586
