Frequency,Modelling Error,COV of Frequency,COV of Mode Shape,Variance of Frequency,Variance of Mode shape
6.21412038,0.81286229,5.61452091,5.0134598,1.15218415,1.6313539
6.21455347,0.81296821,5.61710781,5.01182766,1.15283545,1.62837011
6.21399695,0.81283116,5.61379591,5.01390011,1.15198005,1.63218775
6.21441109,0.81292466,5.61634278,5.01217737,1.15245791,1.62923921
6.21401777,0.81282548,5.61402795,5.01359026,1.15181065,1.63190375
6.21437614,0.81290146,5.61628908,5.01198349,1.15212806,1.62927845
6.21417837,0.81292406,5.61437196,5.01428833,1.15316789,1.63159901
6.21427874,0.81286399,5.61585236,5.01204691,1.15172422,1.62976037
6.21431592,0.81289303,5.6158635,5.01234906,1.15215611,1.62977886
6.21465496,0.81298757,5.61777049,5.01132438,1.1528843,1.62759676
6.21456053,0.81296841,5.61716658,5.01176741,1.15281666,1.62830079
6.21456574,0.81295529,5.61734796,5.01142902,1.15255186,1.62806865
6.21374044,0.81279844,5.61195123,5.01552727,1.15216218,1.63436034
6.21393301,0.81290754,5.61245888,5.01616464,1.15361829,1.63387238
6.21441406,0.81297933,5.61580271,5.01335199,1.15347953,1.62994584
6.21383487,0.81287452,5.61196643,5.01633451,1.15330029,1.63442464
6.21425458,0.81288744,5.61540145,5.01278529,1.1522411,1.63032629
6.21441481,0.8130411,5.61516941,5.01470509,1.15464453,1.6307726
6.21405309,0.81286768,5.61389318,5.0141923,1.15249433,1.63211169
6.21426313,0.81290101,5.61533153,5.01300817,1.15247121,1.63042551
6.21383784,0.81285162,5.61223191,5.01580088,1.152858,1.63408222
6.21546018,0.81323956,5.62203589,5.0094816,1.15514291,1.62275773
6.21459176,0.81296492,5.61747208,5.01139958,1.15265159,1.62793002
6.21449064,0.81298303,5.61642131,5.01272731,1.15330954,1.62920914
6.21469325,0.81304399,5.61751312,5.01221724,1.15383221,1.62796805
6.21438581,0.81291368,5.61624753,5.01216016,1.15232695,1.6293412
6.21439101,0.81295868,5.61582196,5.01310692,1.15316038,1.62990055
6.2144189,0.81292944,5.61636356,5.01220682,1.15252237,1.62921968
6.21451667,0.8129929,5.61653835,5.01270964,1.15341651,1.62908019
6.21441406,0.81297025,5.61590201,5.01314723,1.15330637,1.62981758
6.21348096,0.81283905,5.60933393,5.01877208,1.15372611,1.63753532
6.21414826,0.81291338,5.61422858,5.01432729,1.15305949,1.63175942
6.21453414,0.81299999,5.61661434,5.01270375,1.15349514,1.62899635
6.21466091,0.81313564,5.61628199,5.01453974,1.1556699,1.62954378
6.21445458,0.81301271,5.61580169,5.01371665,1.15398426,1.62998438
