Frequency,Modelling Error,COV of Frequency,COV of Mode Shape,Variance of Frequency,Variance of Mode shape
6.214,0.814,5.6,4.9,1.2,2.4
6.237,0.814,6.4,4,1.6,1.6
6.219,0.819,5.4,5.1,1.1,2.6
6.21,0.81,5.9,4.2,1.4,1.8
6.229,0.829,5.3,4.9,1.1,2.4
6.218,0.818,5.7,4,1.2,1.6
6.215,0.815,6.4,5.5,1.6,3
6.219,0.819,5.3,4,1.1,1.6
6.22,0.82,5.7,4.2,1.2,1.8
6.221,0.821,6.4,3.7,1.6,1.4
6.211,0.811,6.3,4,1.5,1.6
6.217,0.817,6.1,3.7,1.4,1.4
6.202,0.802,5.3,6,1.1,3.6
6.19,0.79,6.5,6.5,1.6,4.2
6.167,0.767,6.6,5.1,1.6,2.6
6.213,0.813,6.3,6.5,1.5,4.2
6.235,0.835,5.8,4.5,1.3,2
6.23,0.83,6.2,6.9,1.5,4.8
6.231,0.831,5.9,5.3,1.3,2.8
6.22,0.82,5.9,4.7,1.4,2.2
6.223,0.823,6,6.2,1.4,3.8
6.216,0.816,5,5.7,9.7,3.2
6.224,0.824,6.2,3.7,1.5,1.4
6.199,0.799,6.6,4.7,1.7,2.2
6.192,0.792,7.1,4.5,1.9,2
6.18,0.78,5.7,4.2,1.2,1.8
6.191,0.791,6.4,4.9,1.6,2.4
6.216,0.816,6,4.2,1.4,1.8
6.195,0.795,6.7,4.7,1.7,2.2
6.199,0.799,6.6,4.9,1.6,2.4
6.202,0.802,6.3,7.6,1.5,5.8
6.21,0.81,6.3,5.5,1.5,3
6.207,0.807,6.8,4.7,1.8,2.2
6.213,0.813,8.5,6,2.8,3.6
6.221,0.821,7.2,5.3,2,2.8
